iter	RMSE
0	0.9760826465
1	0.9568680639
2	0.9378129954
3	0.9208708411
4	0.9041251246
5	0.8896067633
6	0.8760219564
7	0.8629602889
8	0.8508534167
9	0.8370588456
10	0.8243815456
11	0.8129158787
12	0.8028629747
13	0.7919549545
14	0.782325422
15	0.7726778433
16	0.7628348728
17	0.7550677035
18	0.7477853372
19	0.7415753628
20	0.7342556569
21	0.727257119
22	0.7206656827
23	0.71526258
24	0.709905174
25	0.7044131589
26	0.6991447588
27	0.6940966995
28	0.6894385554
29	0.6851005376
30	0.6808386366
31	0.6765490418
32	0.6731140044
33	0.6695267412
34	0.6663180103
35	0.6633296832
36	0.6607689914
37	0.6579999071
38	0.6557193729
39	0.6532251648
40	0.65034385
41	0.6477260356
42	0.6448543514
43	0.6421260673
44	0.6401539871
45	0.6378376062
46	0.6357256445
47	0.6330863507
48	0.6313967709
49	0.6290921781
50	0.6264779575
51	0.6246346461
52	0.6223341989
53	0.6206240263
54	0.6191404748
55	0.6171036714
56	0.6155883866
57	0.6145902967
58	0.6129533699
59	0.6112703455
60	0.6099959714
61	0.6078882331
62	0.6064111217
63	0.604878892
64	0.6028042565
65	0.6016157801
66	0.6009984902
67	0.599077075
68	0.5975538584
69	0.5965388849
70	0.5948666576
71	0.5937443062
72	0.5924527707
73	0.5914886189
74	0.5903136673
75	0.5886737139
76	0.5878790134
77	0.5865730808
78	0.5857776595
79	0.5842347004
80	0.5829785653
81	0.5820186555
82	0.5809242648
83	0.5794836012
84	0.5777422251
85	0.5762398424
86	0.5750812058
87	0.5744768697
88	0.5735159301
89	0.5722636795
90	0.5707980361
91	0.569116928
92	0.5678962353
93	0.5670461486
94	0.5661982126
95	0.5656316902
96	0.5642630159
97	0.5630674457
98	0.5615923467
99	0.5608292926
100	0.5600086431
101	0.5589959026
102	0.5579421753
103	0.5566859393
104	0.5554303908
105	0.5542020245
106	0.553674809
107	0.5526219401
108	0.5519821672
109	0.5513894763
110	0.5502322768
111	0.5491933045
112	0.5486808809
113	0.5482762493
114	0.5477264456
115	0.5467113699
116	0.5461018029
117	0.5453899048
118	0.544261749
119	0.5439398171
120	0.5431083781
121	0.5423624319
122	0.542069776
123	0.5413122165
124	0.5406168588
125	0.5397953186
126	0.5392511655
127	0.5379895955
128	0.5376617914
129	0.5362071278
130	0.5351076689
131	0.5345388671
132	0.5340023575
133	0.5335362483
134	0.5332152583
135	0.5327677217
136	0.5323613317
137	0.531118555
138	0.5306036408
139	0.5296494133
140	0.5285650585
141	0.5277881406
142	0.5264963405
143	0.525354561
144	0.5247679659
145	0.5241089545
146	0.5225020284
147	0.5219955079
148	0.5215505454
149	0.5207645682
150	0.5200479842
151	0.5196889396
152	0.5190731055
153	0.5180990256
154	0.5178128611
155	0.5171992057
156	0.5163204363
157	0.5150457474
158	0.5141337332
159	0.5131642475
160	0.5121100754
161	0.5114653246
162	0.5110804206
163	0.509770099
164	0.5085642593
165	0.5078879834
166	0.506609323
167	0.5059012921
168	0.5052965833
169	0.504963385
170	0.5044024733
171	0.5035646669
172	0.5027338286
173	0.5023185273
174	0.501349471
175	0.5011067006
176	0.5000694978
177	0.4994735992
178	0.4986999235
179	0.4983680069
180	0.4976414731
181	0.4969575348
182	0.4961485166
183	0.4956800237
184	0.4949903529
185	0.4943792228
186	0.4939523475
187	0.4930537713
188	0.492754235
189	0.4916937902
190	0.4912047139
191	0.4908213575
192	0.4899310013
193	0.4892322556
194	0.4885369374
195	0.4878867538
196	0.4872567007
197	0.486009015
198	0.485472604
199	0.4844868794
