iter	Passed	Remaining
0	4	907
1	8	862
2	13	862
3	17	837
4	21	821
5	24	806
6	29	800
7	33	794
8	36	785
9	41	780
10	45	774
11	49	768
12	52	761
13	57	759
14	61	756
15	65	750
16	69	744
17	73	740
18	77	737
19	81	732
20	85	728
21	90	729
22	94	728
23	99	727
24	103	724
25	107	719
26	111	715
27	115	710
28	119	706
29	123	701
30	127	697
31	132	693
32	136	691
33	141	690
34	145	686
35	149	680
36	153	676
37	158	674
38	162	672
39	167	668
40	171	663
41	175	660
42	179	655
43	183	650
44	187	644
45	191	641
46	195	636
47	199	631
48	203	626
49	207	622
50	211	617
51	215	613
52	219	608
53	223	605
54	227	600
55	231	595
56	235	591
57	239	586
58	243	582
59	247	577
60	252	574
61	256	570
62	260	565
63	264	561
64	268	557
65	272	553
66	276	548
67	280	543
68	284	540
69	288	535
70	292	531
71	296	526
72	300	522
73	303	517
74	307	513
75	311	509
76	315	504
77	319	500
78	323	496
79	328	492
80	332	487
81	336	483
82	339	479
83	344	475
84	348	470
85	351	466
86	356	462
87	360	458
88	363	453
89	367	449
90	371	445
91	375	441
92	379	436
93	383	432
94	387	428
95	391	423
96	395	419
97	399	415
98	403	411
99	407	407
100	411	403
101	415	399
102	419	394
103	423	390
104	427	386
105	431	382
106	435	378
107	439	374
108	443	370
109	447	366
110	451	361
111	455	357
112	458	353
113	462	349
114	466	344
115	470	340
116	474	336
117	478	332
118	482	328
119	486	324
120	490	319
121	493	315
122	497	311
123	501	307
124	505	303
125	509	299
126	513	295
127	517	291
128	521	287
129	525	282
130	529	278
131	533	274
132	537	270
133	541	266
134	545	262
135	549	258
136	553	254
137	557	250
138	561	246
139	564	242
140	569	238
141	572	233
142	576	229
143	580	225
144	584	221
145	589	217
146	593	214
147	598	210
148	601	206
149	606	202
150	610	197
151	614	193
152	617	189
153	621	185
154	626	181
155	630	177
156	635	173
157	639	170
158	644	166
159	648	162
160	652	158
161	657	154
162	661	150
163	665	145
164	669	141
165	673	137
166	677	133
167	681	129
168	685	125
169	689	121
170	693	117
171	697	113
172	701	109
173	705	105
174	709	101
175	713	97
176	717	93
177	721	89
178	725	85
179	729	81
180	733	76
181	739	73
182	743	69
183	746	64
184	751	60
185	756	56
186	760	52
187	764	48
188	768	44
189	772	40
190	775	36
191	779	32
192	783	28
193	787	24
194	791	20
195	795	16
196	799	12
197	803	8
198	807	4
199	811	0
